id,pref_name,city_name,district_name,built_year,structure,top_floor_num,room_type,price,area,latitude,longitude,nearest_station_id,dist_to_nearest_station
A00001,東京都,世田谷区,喜多見７丁目,1988,ＲＣ,2,1R,2812.2742,23,35.63129425,139.5940049,S00001,1096.93
A00002,東京都,世田谷区,喜多見７丁目,2005,鉄骨造,3,1R,3006.8074,26,35.63205117,139.5927229,S00001,930.57
A00003,東京都,世田谷区,喜多見９丁目,2001,ＲＣ,3,1R,2828.1343,25,35.63927162,139.5872822,S00001,457.66
A00004,東京都,世田谷区,喜多見９丁目,1991,ＲＣ,3,1R,2787.3645,24,35.63856706,139.5856536,S00001,567.25
A00005,東京都,世田谷区,喜多見９丁目,1987,ＡＬＣ,2,1R,2665.9316,28,35.64040306,139.5869369,S00001,630.01
A00006,東京都,世田谷区,喜多見９丁目,1986,鉄骨造,3,1R,2751.9814,29,35.63822066,139.588657,S00001,407.66
A00007,東京都,世田谷区,喜多見９丁目,1988,ＲＣ,0,1R,2797.7124,21,35.64035854,139.5849745,S00001,879.18
A00008,東京都,世田谷区,喜多見９丁目,1989,ＲＣ,4,1R,2797.0862,27,35.63919542,139.5854946,S00001,607.71
A00009,東京都,世田谷区,喜多見９丁目,1997,ＲＣ,4,1R,2864.4688,29,35.63908434,139.5863874,S00001,555.05
A00010,東京都,世田谷区,喜多見９丁目,1987,ＲＣ,2,1R,2699.3364,30,35.64070204,139.5877923,S00001,676.57
A00011,東京都,世田谷区,喜多見９丁目,1998,鉄骨造,2,1R,2842.874,30,35.64157956,139.5859266,S00001,872.65
A00012,東京都,世田谷区,喜多見９丁目,1999,ＲＣ,5,1R,2872.4888,26,35.64160303,139.5855078,S00001,934.78
A00013,東京都,世田谷区,喜多見９丁目,2002,ＲＣ,4,1R,2879.039,30,35.63930382,139.5884707,S00001,513.18
A00014,東京都,世田谷区,喜多見９丁目,2002,ＲＣ,4,1R,2895.4363,28,35.63778348,139.5862817,S00001,433.47
A00015,東京都,世田谷区,喜多見９丁目,1990,ＲＣ,4,1R,2797.0862,20,35.63932818,139.5852896,S00001,659.56
A00016,東京都,世田谷区,喜多見９丁目,1988,ＲＣ,4,1R,2812.0283,25,35.64145972,139.5867688,S00001,799.95
A00017,東京都,世田谷区,成城４丁目,2014,ＡＬＣ,2,1R,2643.3318,20,35.64397125,139.5911773,S00001,1689.08
A00018,東京都,世田谷区,成城４丁目,1988,ＲＣ,2,1R,2785.8098,29,35.64228333,139.5910424,S00001,1934.71
A00019,東京都,世田谷区,成城４丁目,2003,ＲＣ,5,1R,2893.4402,26,35.64187006,139.5897074,S00001,977.94
A00020,東京都,世田谷区,成城４丁目,1997,ＲＣ,3,1R,2745.4355,22,35.64453625,139.5910501,S00001,1555.42
A00021,東京都,世田谷区,成城４丁目,2003,ＲＣ,5,1R,2929.1538,20,35.63923506,139.5909029,S00001,985.19
A00022,東京都,世田谷区,成城４丁目,1986,ＲＣ,3,1R,2645.9146,25,35.64249064,139.5920371,S00001,1860.27
A00023,東京都,世田谷区,成城４丁目,2000,ＲＣ,2,1R,2802.2634,22,35.64006375,139.5905808,S00001,983.89
A00024,東京都,世田谷区,成城４丁目,2001,ＲＣ,3,1R,2812.6206,26,35.64265432,139.5891499,S00001,1111.32
A00025,東京都,世田谷区,喜多見８丁目,1993,ＲＣ,3,1R,2803.371,30,35.63699142,139.5894443,S00001,190.67
A00026,東京都,世田谷区,喜多見８丁目,2001,鉄骨,5,1R,2880.581,23,35.63707217,139.5897846,S00001,297.28
A00027,東京都,世田谷区,喜多見８丁目,1995,鉄骨造,4,1R,2824.4424,27,35.63536052,139.5918027,S00001,501.27
A00028,東京都,世田谷区,喜多見８丁目,1999,ＲＣ,4,1R,2869.9658,20,35.635354,139.591577,S00001,587.32
A00029,東京都,世田谷区,喜多見８丁目,2002,ＲＣ,3,1R,2833.6313,29,35.63635266,139.5901947,S00001,284.07
A00030,東京都,世田谷区,喜多見８丁目,1966,鉄骨造,3,1R,2805.2256,20,35.63685227,139.5906838,S00001,354.05
A00031,東京都,世田谷区,喜多見８丁目,2001,ＲＣ,5,1R,2869.9658,23,35.63526308,139.5914052,S00001,565.22
A00032,東京都,世田谷区,喜多見８丁目,1998,ＲＣ,3,1R,2808.161,22,35.63522499,139.5917812,S00001,663.49
A00033,東京都,世田谷区,喜多見８丁目,1980,ＲＣ,5,1R,2670.954,23,35.63700952,139.5916068,S00001,486.71
A00034,東京都,世田谷区,喜多見８丁目,2004,鉄骨造,4,1R,3093.8054,21,35.63530672,139.5928459,S00001,705.17
A00035,東京都,世田谷区,喜多見８丁目,1986,鉄骨造,3,1R,2741.0813,23,35.63501783,139.5921923,S00001,527.15
A00036,東京都,世田谷区,喜多見８丁目,1997,ＲＣ,5,1R,2895.4363,30,35.63673545,139.5914152,S00001,449.02
A00037,東京都,世田谷区,喜多見８丁目,1989,ＲＣ,4,1R,2826.2751,21,35.6350813,139.5927084,S00001,572.03
A00038,東京都,世田谷区,喜多見８丁目,1998,鉄骨造,2,1R,2833.1829,23,35.63626274,139.5900653,S00001,261.65
A00039,東京都,世田谷区,喜多見８丁目,2002,ＲＣ,4,1R,2869.9658,27,35.6348373,139.592345,S00001,557.52
A00040,東京都,世田谷区,喜多見８丁目,1996,鉄骨造,3,1R,2812.53,30,35.6355298,139.5927785,S00001,623.73
A00041,東京都,世田谷区,喜多見８丁目,2004,ＡＬＣ,2,1R,2881.4663,21,35.63533542,139.5929236,S00001,633.92
A00042,東京都,世田谷区,喜多見８丁目,2002,ＲＣ,5,1R,2883.1921,27,35.63664374,139.5911837,S00001,501.73
A00043,東京都,世田谷区,喜多見８丁目,2008,ＲＣ,3,1R,3040.5273,24,35.6363661,139.5899741,S00001,267.82
A00044,東京都,世田谷区,喜多見１丁目,1980,ＲＣ,2,1R,2721.0166,20,35.62082722,139.5943064,S00001,2565.75
A00045,東京都,世田谷区,喜多見１丁目,2003,ＲＣ,4,1R,3149.4697,25,35.6210061,139.5955886,S00001,2623.52
A00046,東京都,世田谷区,喜多見１丁目,1995,ＲＣ,4,1R,3017.6375,21,35.62209786,139.5977861,S00001,2428.19
A00047,東京都,世田谷区,喜多見１丁目,1983,ＲＣ,2,1R,2819.1316,25,35.62296185,139.5962021,S00001,2432.86
A00048,東京都,世田谷区,喜多見１丁目,1991,ＲＣ,3,1R,3001.783,29,35.62135629,139.5974853,S00001,2541.58
A00049,東京都,世田谷区,喜多見２丁目,2002,ＲＣ,3,1R,2975.6072,29,35.62447605,139.5931674,S00001,2369.81
A00050,東京都,世田谷区,成城３丁目,2004,ＲＣ,5,1R,3124.6084,24,35.63809399,139.5931897,S00001,714.77
A00051,東京都,世田谷区,駒沢４丁目,1989,ＡＬＣ,2,1R,3045.0547,20,35.62825455,139.6552055,S00002,1062.48
A00052,東京都,世田谷区,駒沢４丁目,2003,ＲＣ,5,1R,3247.905,29,35.62728774,139.6545137,S00002,1144.43
A00053,東京都,世田谷区,駒沢４丁目,1996,ＲＣ,5,1R,3181.161,28,35.6258879,139.6548769,S00002,1174.27
A00054,東京都,世田谷区,駒沢４丁目,1997,ＳＲＣ,9,1R,3235.4585,28,35.62817803,139.6544191,S00002,1067.04
A00055,東京都,世田谷区,駒沢４丁目,2005,ＳＲＣ,9,1R,3408.3596,26,35.62934344,139.6556562,S00002,893.43
A00056,東京都,世田谷区,駒沢４丁目,2005,ＲＣ,5,1R,3331.664,28,35.62729718,139.6549605,S00002,1139.33
A00057,東京都,世田谷区,駒沢４丁目,2001,鉄骨造,9,1R,3281.9104,26,35.62974384,139.6543571,S00002,946.62
A00058,東京都,世田谷区,駒沢４丁目,2006,ＲＣ,3,1R,3270.348,30,35.62876941,139.6536778,S00002,951.4
A00059,東京都,世田谷区,駒沢４丁目,1987,鉄骨造,3,1R,3070.8672,23,35.62885335,139.6552613,S00002,1070.79
A00060,東京都,世田谷区,駒沢４丁目,1987,ＲＣ,4,1R,3133.673,21,35.62601396,139.6546508,S00002,1331.1
A00061,東京都,世田谷区,駒沢４丁目,1990,ＲＣ,3,1R,3222.906,22,35.62977579,139.6551008,S00002,828.67
A00062,東京都,世田谷区,駒沢１丁目,1999,ＲＣ,4,1R,3433.256,25,35.62967383,139.6570623,S00002,758.92
A00063,東京都,世田谷区,駒沢１丁目,1987,ＲＣ,3,1R,3278.6235,22,35.6303076,139.6574556,S00002,573.44
A00064,東京都,世田谷区,駒沢１丁目,1980,ＲＣ,3,1R,3114.3994,25,35.63069075,139.658229,S00002,548.08
A00065,東京都,世田谷区,駒沢１丁目,2001,ＲＣ,3,1R,3422.144,26,35.63066971,139.6583801,S00002,515.59
A00066,東京都,世田谷区,駒沢１丁目,2000,ＡＬＣ,2,1R,3321.366,27,35.62901507,139.6593234,S00002,600.93
A00067,東京都,世田谷区,駒沢１丁目,1988,ＲＣ,3,1R,3113.1753,24,35.62880993,139.6579784,S00002,1105.32
A00068,東京都,世田谷区,駒沢１丁目,1988,ＲＣ,6,1R,3360.7297,23,35.63069035,139.6580195,S00002,496.8
A00069,東京都,世田谷区,駒沢１丁目,2003,ＲＣ,5,1R,3469.3787,25,35.62991439,139.6588746,S00002,731.21
A00070,東京都,世田谷区,駒沢１丁目,1987,ＲＣ,4,1R,3354.2473,26,35.62966976,139.657117,S00002,717.85
A00071,東京都,世田谷区,駒沢５丁目,1985,ＲＣ,3,1R,3020.0632,24,35.62421915,139.657585,S00002,1445.07
A00072,東京都,世田谷区,駒沢５丁目,1988,ＲＣ,4,1R,3037.4258,26,35.62348314,139.657013,S00002,1511.54
A00073,東京都,世田谷区,駒沢５丁目,1986,ＲＣ,6,1R,3053.3584,22,35.62372542,139.6578606,S00002,1457.97
A00074,東京都,世田谷区,駒沢５丁目,2006,ＲＣ,3,1R,3258.6763,30,35.62479191,139.6564275,S00002,1285.52
A00075,東京都,世田谷区,駒沢５丁目,1988,ＲＣ,4,1R,3095.687,24,35.62381538,139.6574193,S00002,1484.72
A00076,東京都,世田谷区,上野毛３丁目,1987,ＲＣ,2,1R,3249.1292,22,35.6118454,139.63775,S00003,128.9
A00077,東京都,世田谷区,駒沢５丁目,2003,ＲＣ,3,1R,3140.7163,27,35.62420472,139.6570538,S00002,1392.08
A00078,東京都,世田谷区,駒沢５丁目,1991,ＲＣ,3,1R,3087.4082,29,35.62402232,139.6573158,S00002,1421.51
A00079,東京都,世田谷区,駒沢５丁目,1995,鉄骨造,2,1R,3077.4958,27,35.62405242,139.6579456,S00002,1423.65
A00080,東京都,世田谷区,駒沢５丁目,1993,鉄骨造,2,1R,3034.4722,27,35.62370535,139.6582022,S00002,1549.33
A00081,東京都,世田谷区,駒沢５丁目,1997,ＲＣ,2,1R,3146.0825,22,35.62462017,139.6565373,S00002,1321.82
A00082,東京都,世田谷区,上馬２丁目,1991,ＲＣ,4,1R,3435.349,29,35.63776315,139.6649189,S00002,823.55
A00083,東京都,世田谷区,上馬２丁目,1991,鉄骨造,3,1R,3498.3318,27,35.63760323,139.664119,S00002,732.59
A00084,東京都,世田谷区,上馬２丁目,1991,ＳＲＣ,3,1R,3536.408,24,35.63786334,139.6634685,S00002,603.42
A00085,東京都,世田谷区,上馬２丁目,1999,ＲＣ,4,1R,3619.2075,29,35.63766001,139.6634854,S00002,624.63
A00086,東京都,世田谷区,上馬２丁目,1996,ＲＣ,4,1R,3562.5312,20,35.63760785,139.664499,S00002,751.29
A00087,東京都,世田谷区,上馬２丁目,1993,鉄骨造,3,1R,3488.868,29,35.63752508,139.6635324,S00002,619.53
A00088,東京都,世田谷区,上馬２丁目,1985,ＲＣ,5,1R,3501.6504,22,35.63759005,139.6643811,S00002,775.71
A00089,東京都,世田谷区,上馬２丁目,1988,ＲＣ,3,1R,3376.0996,29,35.63800867,139.6653196,S00002,851.02
A00090,東京都,世田谷区,上馬２丁目,1970,ＲＣ,8,1R,3320.2007,30,35.63747346,139.6644281,S00002,760.86
A00091,東京都,世田谷区,上馬２丁目,2001,ＲＣ,7,1R,3658.349,21,35.63748978,139.6638221,S00002,675.79
A00092,東京都,世田谷区,上馬２丁目,1985,ＳＲＣ,11,1R,3395.6433,22,35.6378978,139.665593,S00002,817.88
A00093,東京都,世田谷区,上馬２丁目,1993,鉄骨造,2,1R,3526.944,29,35.63746757,139.6637809,S00002,591.94
