id,name,latitude,longitude,cityid
S00001,喜多見,35.63674537,139.5875126,639
S00002,駒沢大学,35.63348915,139.6616271,639
S00003,上野毛,35.61202256,139.638845,639
S00004,二子玉川園,35.61151174,139.6265454,639
S00005,成城学園前,35.64019735,139.5991414,639
S00006,上北沢,35.66885434,139.6234671,639
S00007,桜上水,35.66756132,139.6321757,639
S00008,用賀,35.62643641,139.633863,639
S00009,桜新町,35.63166725,139.6446038,639
S00010,祖師ヶ谷大蔵,35.6431232,139.6090876,639
S00011,宮の坂,35.64789981,139.6450294,639
S00012,明大前,35.6683695,139.6506247,639
S00013,千歳船橋,35.64759539,139.6244018,639
S00014,世田谷,35.64350972,139.6506107,639
S00015,上町,35.64341343,139.646597,639
S00016,山下,35.65384127,139.6465274,639
S00017,豪徳寺,35.65382914,139.647422,639
S00018,梅ヶ丘,35.65607764,139.6536833,639
S00019,経堂,35.65114368,139.6364719,639
S00020,池ノ上,35.66046716,139.6733984,639
S00021,松原,35.66002747,139.6419979,639
S00022,下高井戸,35.66612585,139.6418265,639
S00023,九品仏,35.60539704,139.6610856,639
S00024,尾山台,35.60701879,139.653793,639
S00025,三軒茶屋,35.64377039,139.6701973,639
S00026,松陰神社前,35.64395831,139.6552288,639
S00027,新代田,35.66260774,139.6608656,639
S00028,世田谷代田,35.65821837,139.661075,639
S00029,奥沢,35.60389545,139.6722429,639
S00030,代田橋,35.67098787,139.6590736,639
S00031,芦花公園,35.67059688,139.6085955,639
S00032,千歳鳥山,35.66798521,139.6007801,639
S00033,若林,35.645995,139.659892,639
S00034,等々力,35.60837823,139.6479499,639
S00035,東松原,35.66267231,139.6556787,639
S00036,東北沢,35.66545026,139.6729787,639
S00037,西太子堂,35.64464829,139.6662235,639
S00038,下北沢,35.66155662,139.6671934,639
