id,name,guru,genle,genle2,genle3,station,distance,price_lunch,price_dinner,tel,tabeloog,tabelog,score,times,other,lat,lon,url
A00001,人間関係 cafe de copain,1,カフェ,0,0,渋谷,390,1,1,03-3496-5001,3.5,6,6,3,0,0,0,0
A00002,菱田屋,1,定食,0,0,駒場東大前,209,2,2,03-3466-8371,3.69,6.38,6.38,3,0,0,0,0
A00003,ルーシー,1,カレー,0,0,駒場東大前,49,1,1,03-5790-2217,3.22,5.44,5.44,3,0,0,0,0
A00004,天馬屋 下北沢店,1,カレー,0,0,下北沢,96,2,1,03-5787-6810,3.39,5.78,5.78,3,0,0,0,0
A00005,千里眼,1,ラーメン,0,0,駒場東大前,850,1,1,03-3481-5773,3.76,6.52,6.52,3,0,0,0,0
A00006,山手ラーメン,1,ラーメン,つけ麺,0,駒場東大前,447,1,1,03-5453-7290,3.52,6.04,6.04,3,0,0,0,0
A00007,油そば 東京油組総本店 下北沢組,1,油そば,0,0,下北沢,131,1,2,03-5779-6585,3.01,5.02,5.02,3,0,0,0,0
A00008,ティラミスホームメイド,1,洋菓子,0,0,駒場東大前,93,1,1,03-3460-3960,3.09,5.18,5.18,3,0,0,0,0
A00009,茶房 武蔵野文庫,1,カフェ,カレー,0,吉祥寺,343,2,2,0422-22-9107,3.58,6.16,6.16,3,0,0,0,0
A00010,コックマン,1,ビストロ,0,0,渋谷,390,1,4,03-6416-9458,3.58,6.16,6.16,3,0,0,0,0
A00011,サハラ,1,カレー,0,0,下北沢,152,2,2,03-3413-8477,3.06,5.12,5.12,3,0,0,0,0
A00012,ロイヤルガーデンカフェ 渋谷店,1,カフェ,0,0,渋谷,542,2,3,050-3468-3432,3.45,5.9,5.9,3,0,0,0,0
A00013,伝説のすた丼屋 下北沢店,1,丼,定食,0,下北沢,47,1,3,03-6450-9312,3.04,5.08,5.08,3,0,0,0,0
A00014,ムスカン,1,カレー,0,0,駒場東大前,280,2,2,03-3469-3686,3.18,5.36,5.36,3,0,0,0,0
